INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,COTE,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,ESSENCE_ANG,DHP,Date_releve,Date_plantation,LOCALISATION,CODE_PARC,NOM_PARC,Longitude,Latitude
"H",17508,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295507.656,5039668,"GIBIWO","Ginkgo biloba '''Woodstock'' (Emperor TM)","Ginkgo biloba ''Woodstock'' (Emperor TM)","Ginkgo biloba ''Woodstock'' (Emperor TM)",5,"2018-10-09T00:00:00","2018-10-09T00:00:00",,"0509-000","JEAN-BRILLANT",-73.618897,45.496873
"H",17509,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295502.542,5039660,"JUNI","Juglans nigra","Noyer noir","Eastern Black Walnut",5,"2018-10-09T00:00:00","2018-10-09T00:00:00",,"0509-000","JEAN-BRILLANT",-73.618962,45.496801
"H",17514,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295490.734,5039659,"CR","Carya","Caryer","Hickory",44,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619113,45.496792
"H",17515,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295485.895,5039651,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",56,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619175,45.496719
"H",17516,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295488.843,5039641,"GIBIWO","Ginkgo biloba '''Woodstock'' (Emperor TM)","Ginkgo biloba ''Woodstock'' (Emperor TM)","Ginkgo biloba ''Woodstock'' (Emperor TM)",5,"2018-10-09T00:00:00","2018-10-09T00:00:00",,"0509-000","JEAN-BRILLANT",-73.619137,45.49663
"H",17517,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295482.26,5039630.5,"GIBIWO","Ginkgo biloba '''Woodstock'' (Emperor TM)","Ginkgo biloba ''Woodstock'' (Emperor TM)","Ginkgo biloba ''Woodstock'' (Emperor TM)",5,"2018-10-09T00:00:00","2018-10-09T00:00:00",,"0509-000","JEAN-BRILLANT",-73.619221,45.496535
"H",17519,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295467.291,5039623.5,"QURU","Quercus rubra","Chêne rouge","Red Oak",41,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619413,45.496472
"H",17522,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295463.846,5039604,"FRAM","Fraxinus americana","Frêne d'Amérique","White Ash",5,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619456,45.496296
"H",17523,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295442.559,5039606.5,"PODE","Populus deltoides","Peuplier deltoïde","Eastern Cottonwood",107,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619729,45.496318
"H",17524,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295448.995,5039609,"MA","Malus","Pommier","Crab Apple",13,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619646,45.496341
"H",17525,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295445.701,5039613.5,"MA","Malus","Pommier","Crab Apple",14,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619689,45.496381
"H",17526,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295437.238,5039618,"MA","Malus","Pommier","Crab Apple",17,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619797,45.496422
"H",17527,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295430.703,5039617.5,"MA","Malus","Pommier","Crab Apple",18,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619881,45.496417
"H",17528,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295426.234,5039623.5,"MOAL","Morus alba","Mûrier blanc","White Mulberry",60,"2019-09-12T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619938,45.496471
"H",17529,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295419.327,5039622.5,"MA","Malus","Pommier","Crab Apple",14,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620026,45.496462
"H",17530,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295419.468,5039628.5,"MA","Malus","Pommier","Crab Apple",15,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620025,45.496516
"H",17531,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295413.275,5039631.5,"TICO","Tilia cordata","Tilleul à petites feuilles","Littleleaf European Linden",19,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620104,45.496543
"H",17532,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295384.544,5039652.5,"AEGL","Aesculus glabra","Marronnier glabre","Ohio Buckeye",5,"2021-10-19T00:00:00","2021-10-19T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620472,45.496732
"H",17533,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295383.749,5039644.5,"SYREIS","Syringa reticulata 'Ivory Silk'","Lilas japonais Ivory Silk","Ivory Silk Japanese Tree Lilac",10,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620482,45.49666
"H",17536,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295393.846,5039676,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",33,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620353,45.496943
