INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,COTE,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,ESSENCE_ANG,DHP,Date_releve,Date_plantation,LOCALISATION,CODE_PARC,NOM_PARC,Longitude,Latitude
"H",8903,5,"Le Plateau-Mont-Royal",,,,"PArc",298477.77,5042248,"QUROFA","Quercus robur 'Fastigiata'","Chêne anglais fastigié","Fastigiate English Oak",30,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580927,45.520122
"H",8904,5,"Le Plateau-Mont-Royal",,,,"PArc",298476.239,5042246,"QUROFA","Quercus robur 'Fastigiata'","Chêne anglais fastigié","Fastigiate English Oak",8,"2019-07-10T00:00:00","2008-10-27T00:00:00",,"0308-000","LIONAIS",-73.580947,45.520104
"H",8905,5,"Le Plateau-Mont-Royal",,,,"PArc",298474.709,5042243.5,"QUROFA","Quercus robur 'Fastigiata'","Chêne anglais fastigié","Fastigiate English Oak",15,"2019-07-10T00:00:00","2010-10-10T00:00:00",,"0308-000","LIONAIS",-73.580966,45.520081
"H",8906,5,"Le Plateau-Mont-Royal",,,,"PArc",298471.31,5042239.5,"PIPU","Picea pungens","Épinette du Colorado","Colorado Spruce",5,"2019-09-11T00:00:00","2019-09-11T00:00:00",,"0308-000","LIONAIS",-73.58101,45.520045
"H",8907,5,"Le Plateau-Mont-Royal",,,,"PArc",298471.51300000004,5042236.109,"AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'","Amélanchier à grandes fleurs Autumn Brillance","Autumn Brillance Serviceberry",5,"2019-10-16T00:00:00","2019-10-16T00:00:00",,"0308-000","LIONAIS",-73.581007,45.520015
"H",8909,5,"Le Plateau-Mont-Royal",,,,"PArc",298468.436,5042235.448,"PIAB","Picea abies","Épinette de Norvège","Norway Spruce",5,"2019-09-11T00:00:00","2019-09-11T00:00:00",,"0308-000","LIONAIS",-73.581047,45.520009
"H",8910,5,"Le Plateau-Mont-Royal",,,,"PArc",298480.26,5042243,"SAMATO","Salix matsudana 'Tortuosa'","Saule tortueux de Pékin","Corkscrew Willow",5,"2022-10-18T00:00:00","2022-10-18T00:00:00",,"0308-000","LIONAIS",-73.580895,45.520077
"H",8911,5,"Le Plateau-Mont-Royal",,,,"PArc",298480.702,5042230.546,"FRPE","Fraxinus pennsylvanica","Frêne de Pennsylvanie","Red Ash",41,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580889,45.519965
"H",8914,5,"Le Plateau-Mont-Royal",,,,"PArc",298484.71,5042224.64,"AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'","Amélanchier à grandes fleurs Autumn Brillance","Autumn Brillance Serviceberry",5,"2019-10-16T00:00:00","2019-10-16T00:00:00",,"0308-000","LIONAIS",-73.580838,45.519912
"H",8915,5,"Le Plateau-Mont-Royal",,,,"PArc",298487.091,5042222.9569999995,"QUMA","Quercus macrocarpa","Chêne à gros fruits","Bur Oak",5,"2019-09-11T00:00:00","2019-09-11T00:00:00",,"0308-000","LIONAIS",-73.580808,45.519897
"H",8916,5,"Le Plateau-Mont-Royal",,,,"PArc",298485.915,5042227.5,"FRPE","Fraxinus pennsylvanica","Frêne de Pennsylvanie","Red Ash",40,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580823,45.519937
"H",8917,5,"Le Plateau-Mont-Royal",,,,"PArc",298483.845,5042236,"MAXXIM","Malus x 'Indian Magic'","Pommetier Indian Magic","Indian Magic Crab Apple",7,"2019-06-20T00:00:00","2008-11-04T00:00:00",,"0308-000","LIONAIS",-73.580849,45.520014
"H",8918,5,"Le Plateau-Mont-Royal",,,,"PArc",298488.706,5042234.5,"MA","Malus","Pommier","Crab Apple",23,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580787,45.52
"H",8919,5,"Le Plateau-Mont-Royal",,,,"PArc",298493.29600000003,5042236,"MA","Malus","Pommier","Crab Apple",28,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580728,45.520014
"H",8920,5,"Le Plateau-Mont-Royal",,,,"PArc",298491.541,5042241,"MA","Malus","Pommier","Crab Apple",24,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580751,45.520059
"H",8921,5,"Le Plateau-Mont-Royal",,,,"PArc",298486.995,5042239.5,"MA","Malus","Pommier","Crab Apple",21,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580809,45.520045
"H",8922,5,"Le Plateau-Mont-Royal",,,,"PArc",298485.15,5042245,"MA","Malus","Pommier","Crab Apple",27,"2019-06-20T00:00:00",,,"0308-000","LIONAIS",-73.580833,45.520095
"H",20245,5,"Le Plateau-Mont-Royal",,,,"Parterre Gazonné",298479.382,5042250.715,"QUROFA","Quercus robur 'Fastigiata'","Chêne anglais fastigié","Fastigiate English Oak",9,"2019-06-20T00:00:00","2010-10-10T00:00:00",,"0308-000","LIONAIS",-73.580907,45.520146
"H",126694,5,"Le Plateau-Mont-Royal",,,,"PArc",298492.656,5042231,"CTSP","Catalpa speciosa","Catalpa de l'Ouest","Western Catalpa",5,"2020-11-13T00:00:00","2020-11-13T00:00:00",,"0308-000","LIONAIS",-73.580736,45.519969
